DocType: Email Account,Add Signature,إضافة التوقيع
DocType: Report,Add Total Row,إضافة صف الإجمالي
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +9,Add a New Role,إضافة دور جديد
DocType: Website Settings,Add a banner to the site. (small banners are usually good),إضافة لافتة إلى الموقع. (لافتات صغيرة عادة ما تكون جيدة)
apps/frappe/frappe/public/js/frappe/form/footer/timeline.html +4,Add a comment,إضافة تعليق
apps/frappe/frappe/public/js/frappe/ui/tags.js +21,Add a tag,إضافة علامة
apps/frappe/frappe/core/doctype/user/user.js +152,Add all roles,إضافة كافة الأدوار
DocType: Web Page,Add code as &lt;script&gt;,إضافة التعليمات البرمجية كما &lt;script&gt;
apps/frappe/frappe/config/setup.py +232,Add custom forms.,إضافة نماذج مخصصة.
apps/frappe/frappe/config/setup.py +227,Add custom javascript to forms.,إضافة جافا سكريبت الى (forms)
apps/frappe/frappe/config/setup.py +222,Add fields to forms.,إضافة حقول إلى النماذج.
apps/frappe/frappe/public/js/frappe/form/grid_body.html +14,Add multiple rows,إضافة صفوف متعددة
apps/frappe/frappe/public/js/frappe/form/grid_body.html +11,Add new row,إضافة صف جديد
DocType: Website Theme,"Add the name of a ""Google Web Font"" e.g. ""Open Sans""",إضافة اسم &quot;Google ويب الخط&quot; على سبيل المثال &quot;فتح بلا&quot;
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +167,Add to To Do,إضافة إلى المهام
apps/frappe/frappe/templates/base.html +134,Added,تم الاضافة
DocType: Website Settings,"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",وأضاف HTML في القسم &lt;head&gt; من صفحة الويب، تستخدم في المقام الأول للتحقق من الموقع وSEO
apps/frappe/frappe/utils/file_manager.py +43,Added {0},تم اضافة  {0}
apps/frappe/frappe/public/js/frappe/form/link_selector.js +121,Added {0} ({1}),وأضاف {0} ({1})
apps/frappe/frappe/core/doctype/user/user.py +66,Adding System Manager to this User as there must be atleast one System Manager,مضيفا إدارة نظام ل هذا العضو كما يجب أن يكون هناك على الأقل إدارة نظام واحد
DocType: DocPerm,Additional Permissions,ضوابط إضافية
DocType: Contact Us Settings,Address,عنوان
DocType: Contact Us Settings,Address Line 1,العنوان سطر 1
DocType: Contact Us Settings,Address Line 2,العنوان سطر 2
DocType: Contact Us Settings,Address Title,عنوان عنوان
DocType: Website Settings,Address and other legal information you may want to put in the footer.,العنوان وغيرها من المعلومات القانونية قد تحتاج لوضع في تذييل الصفحة.
DocType: Custom Field,Adds a custom field to a DocType,DocType  اضافة حقل خاص ل
DocType: Custom Script,Adds a custom script (client or server) to a DocType,اضافة سيناريو مخصص (العميل أو الخادم) إلى DOCTYPE
DocType: DocType,Administrator,مدير
apps/frappe/frappe/core/doctype/user/user.py +548,Administrator Logged In,تسجيل دخول مسؤول النظام
apps/frappe/frappe/core/doctype/user/user.py +539,Administrator accessed {0} on {1} via IP Address {2}.,الوصول إلى المسؤول {0} على {1} عن طريق IP عنوان {2}.
DocType: Web Form,Advanced,متقدم
apps/frappe/frappe/public/js/frappe/form/control.js +1153,Advanced Search,البحث المتقدم
apps/frappe/frappe/public/js/frappe/ui/editor.html +56,Align Left (Ctrl/Cmd+L),محاذاة اليسار (السيطرة / كمد + L)
DocType: Communication,All,جميع
apps/frappe/frappe/core/page/desktop/desktop.js +60,All Applications,جميع التطبيقات
DocType: Event,All Day,كل يوم
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +109,All customizations will be removed. Please confirm.,سيتم إزالة كافة التخصيصات. يرجى التأكيد.
DocType: Workflow,"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","جميع حالات سير العمل الممكنة وأدوار سير العمل. خيارات Docstatus: 0 هو ""محفوظ"" (1)، هو ""مقدم"" و 2 هو ""ألغي"""
DocType: ToDo,Allocated To,المخصصة ل
DocType: Web Form,Allow Comments,السماح بالتعليقات
DocType: Web Form,Allow Delete,السماح بالحذف
DocType: Dropbox Backup,Allow Dropbox Access,تسمح قطاف الدخول
DocType: Web Form,Allow Edit,السماح بالتعديل
DocType: DocType,Allow Import,السماح بالإستيراد
DocType: DocType,Allow Import via Data Import Tool,السماح بالإستيراد خلال أداة إستيراد البيانات
DocType: Web Form,Allow Multiple,السماح بالتعدد
DocType: DocType,Allow Rename,السماح بإعادة التسمية
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +251,Allow User,تسمح للموظف
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +201,Allow field to remain editable even after submission,السماح للحقل يبقى قابل للتعديل حتى بعد الارسال
DocType: DocField,Allow on Submit,السماح بالإعتماد
DocType: System Settings,Allow only one session per user,تسمح جلسة واحدة فقط لكل مستخدم
DocType: User,Allow user to login only after this hour (0-24),تسمح للمستخدم لتسجيل الدخول فقط بعد هذه الساعة (0-24)
DocType: User,Allow user to login only before this hour (0-24),تسمح للمستخدم لتسجيل الدخول فقط قبل هذه الساعة (0-24)
DocType: Workflow Transition,Allowed,سمح
apps/frappe/frappe/public/js/legacy/form.js +62,"Allowing DocType, DocType. Be careful!",السماح DOCTYPE ، DOCTYPE . كن حذرا!
apps/frappe/frappe/core/doctype/user/user.py +408,Already Registered,مسجل بالفعل
apps/frappe/frappe/desk/form/assign_to.py +41,Already in user's To Do list,بالفعل في قائمة مهام المستخدم
DocType: Email Account,Always use Account's Email ID as Sender,استخدم هذاالبريد الإلكتروني في محل المرسل
DocType: DocPerm,Amend,تعديل
apps/frappe/frappe/public/js/frappe/form/save.js +14,Amending,المعدل
DocType: Website Settings,An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],ملف رمز مع منظمة البن الدولية التمديد. يجب أن تكون 16 × 16 بكسل. تم إنشاؤها باستخدام مولد فافيكون. [favicon-generator.org]
apps/frappe/frappe/public/js/frappe/request.js +92,Another transaction is blocking this one. Please try again in a few seconds.,معاملة أخرى يتم حظر هذه واحدة. يرجى المحاولة مرة أخرى في بضع ثوان.
apps/frappe/frappe/model/rename_doc.py +94,"Another {0} with name {1} exists, select another name",آخر {0} مع اسم {1} موجودا، حدد اسم آخر
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +133,Any existing permission will be deleted / overwritten.,سيتم حذف أي إذن الحالية / الكتابة.
apps/frappe/frappe/core/page/user_permissions/user_permissions.js +19,"Apart from Role based Permission Rules, you can apply User Permissions based on DocTypes.",وبصرف النظر عن دور أساس القواعد إذن ، يمكنك تطبيق أذونات المستخدم استنادا DocTypes .
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +36,"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.",وبصرف النظر عن إدارة نظام أدوار مع مجموعة أذونات المستخدم حق يمكن تعيين أذونات للمستخدمين الآخرين لذلك نوع الوثيقة.
,App Installer,التطبيق المثبت
DocType: Module Def,App Name,اسم التطبيق
apps/frappe/frappe/modules/__init__.py +81,App not found,لم يتم العثور على التطبيق
apps/frappe/frappe/__init__.py +784,App {0} is not installed,لم يتم تثبيت التطبيق {0}
DocType: Email Account,Append To,إلحاق ل
apps/frappe/frappe/email/doctype/email_account/email_account.py +70,Append To can be one of {0},إلحاق يمكن أن يكون واحدا من {0}
apps/frappe/frappe/email/doctype/email_account/email_account.py +52,Append To is mandatory for incoming mails,إلحاق إلزامي لرسائل واردة
DocType: Email Account,"Append as communication against this DocType (must have fields, ""Status"", ""Subject"")","كما إلحاق الاتصالات ضد هذا DOCTYPE (يجب أن يكون المجالات، ""الحالة""، ""الموضوع"")"
apps/frappe/frappe/config/setup.py +192,Application Installer,مثبت التطبيق
apps/frappe/frappe/core/page/permission_manager/permission_manager.js +433,Apply Rule,تطبيق القاعدة
DocType: Website Theme,Apply Style,تطبيق نمط
DocType: DocPerm,Apply User Permissions,تطبيق ضوابط العضو
DocType: DocPerm,Apply this rule if the User is the Owner,تطبيق هذا الحكم إذا كان المستخدم هو مالك
apps/frappe/frappe/desk/page/activity/activity.js +203,Apr,أبريل
apps/frappe/frappe/public/js/frappe/form/footer/attachments.js +83,Are you sure you want to delete the attachment?,هل أنت متأكد أنك تريد حذف المرفق؟
DocType: Print Format,Arial,Arial
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +11,"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.",باعتبارها أفضل الممارسات ، عدم تعيين نفس مجموعة من الحكم إذن ل أدوار مختلفة. بدلا من ذلك ، تعيين أدوار متعددة ل نفس العضو .
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +462,Ascending,تصاعدي
apps/frappe/frappe/public/js/frappe/form/form_sidebar.html +19,Assign,عين
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +172,Assign To,تكليف إلى
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +168,Assign a permission level to the field.,تعيين مستوى إذن إلى الميدان.
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +169,Assign to me,تعيين لي
DocType: Communication,Assigned,تعيين
DocType: ToDo,Assigned By,تعيين بواسطة
apps/frappe/frappe/desk/doctype/todo/todo_list.js +21,Assigned By Me,يسندها عني
apps/frappe/frappe/public/js/frappe/form/form_sidebar.html +18,Assigned To,كلف إلى
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html +10,Assigned To Me,تعيين إلى البيانات
apps/frappe/frappe/core/report/todo/todo.py +21,Assigned To/Owner,تعيين ل / المالك
apps/frappe/frappe/desk/doctype/todo/todo.py +20,Assigned to {0}: {1},تعيين إلى {0} {1}
apps/frappe/frappe/patches/v6_19/comment_feed_communication.py +125,Assignment,مهمة
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +62,Assignment Complete,التنازل الكامل
DocType: Communication,Assignment Completed,احالة المنجزة
apps/frappe/frappe/desk/doctype/todo/todo.py +28,Assignment closed by {0},احالة مغلقة من قبل {0}
DocType: DocField,Attach,إرفاق
apps/frappe/frappe/public/js/frappe/views/communication.js +75,Attach Document Print,إرفاق طباعة المستند
apps/frappe/frappe/public/js/frappe/form/form_sidebar.html +26,Attach File,إرفاق ملف
DocType: DocField,Attach Image,إرفاق صورة
DocType: Email Alert,Attach Print,نعلق طباعة
DocType: File,Attached To DocType,تعلق على DOCTYPE
DocType: File,Attached To Name,أرفقت للأسم
DocType: Communication,Attachment,مرفق
DocType: Email Account,Attachment Limit (MB),الحد مرفق (MB)
DocType: Communication,Attachment Removed,تم حذف المرفق
apps/frappe/frappe/public/js/frappe/form/form_sidebar.html +24,Attachments,المرفقات
apps/frappe/frappe/desk/page/activity/activity.js +204,Aug,أغسطس
apps/frappe/frappe/email/doctype/email_account/email_account.py +125,Authentication failed while receiving emails from Email Account {0}. Message from server: {1},فشل المصادقة في حين تلقي رسائل البريد الإلكتروني من البريد الإلكتروني حساب {0}. رسالة من الخادم: {1}
DocType: DocType,Auto Name,الإسم التلقائي
DocType: Email Account,Auto Reply Message,الرد التلقائي رسالة
DocType: Blogger,Avatar,الصورة الرمزية
apps/frappe/frappe/templates/pages/login.html +74,Back to Login,العودة إلى تسجيل الدخول
DocType: Website Theme,Background Color,لون الخلفية
apps/frappe/frappe/config/core.py +52,Background Email Queue,خلفية البريد الإلكتروني قائمة الانتظار
DocType: User,Background Image,صورة الخلفية
DocType: User,Background Style,خلفية ستايل
DocType: System Settings,Background Workers,عمال الخلفية
DocType: Website Settings,Banner,راية
DocType: Website Settings,Banner HTML,راية HTML
DocType: Website Settings,Banner Image,راية صورة
DocType: Website Settings,Banner is above the Top Menu Bar.,راية فوق أعلى شريط القوائم.
DocType: Web Page,Begin this page with a slideshow of images,تبدأ هذه الصفحة مع عرض شرائح من الصور
apps/frappe/frappe/public/js/frappe/form/link_selector.js +24,Beginning with,بدء ب
DocType: User,Bio,نبذة
DocType: User,Birth Date,تاريخ الميلاد
DocType: Block Module,Block Module,كتلة الوحدة
DocType: User,Block Modules,كتلة وحدات
apps/frappe/frappe/website/doctype/blog_post/blog_post.py +85,Blog,مقالة
DocType: Blog Category,Blog Category,تصنيف المقالة
DocType: Blog Post,Blog Intro,المقدمة
DocType: Blog Settings,Blog Introduction,المقدمة
DocType: Blog Post,Blog Post,المقالات
DocType: Blog Settings,Blog Settings,إعدادات المقالات
DocType: Blog Settings,Blog Title,العنوان
DocType: Blog Category,Blogger,مدون
DocType: DocField,Bold,
apps/frappe/frappe/public/js/frappe/ui/editor.html +6,Bold (Ctrl/Cmd+B),جريئة (السيطرة / كمد B +)
apps/frappe/frappe/print/page/print_format_builder/print_format_builder.js +120,Both DocType and Name required,كلا DOCTYPE واسم المطلوبة
apps/frappe/frappe/templates/includes/login/login.js +19,Both login and password required,كل من تسجيل الدخول وكلمة المرور المطلوبة
DocType: Communication,Bounced,وثب
DocType: Website Settings,Brand HTML,العلامة التجارية HTML
DocType: Web Form,Breadcrumbs,فتات الخبز
apps/frappe/frappe/public/js/frappe/ui/upload.html +4,Browse,تصفح
apps/frappe/frappe/desk/page/activity/activity.js +73,Build Report,بناء تقرير
apps/frappe/frappe/public/js/frappe/form/grid.js +281,Bulk Edit {0},تحرير الجزء الأكبر {0}
DocType: Bulk Email,Bulk Email,الجزء الأكبر البريد الإلكتروني
DocType: Bulk Email,Bulk Email records.,سجلات البريد الإلكتروني السائبة.
apps/frappe/frappe/config/setup.py +108,Bulk Rename,إعادة تسمية الحزمة
apps/frappe/frappe/public/js/frappe/ui/editor.html +8,Bullet list,قائمة رصاصة
DocType: DocField,Button,زر
apps/frappe/frappe/sessions.py +28,Cache Cleared,تحديث الصفحة
apps/frappe/frappe/public/js/frappe/ui/toolbar/awesome_bar.js +99,Calculate,إحسب
apps/frappe/frappe/public/js/frappe/list/list_sidebar.html +7,Calendar,التقويم
apps/frappe/frappe/public/js/frappe/form/set_sharing.html +5,Can Read,يمكن قراءة
apps/frappe/frappe/public/js/frappe/form/set_sharing.html +7,Can Share,يمكن مشاركة
apps/frappe/frappe/public/js/frappe/form/set_sharing.html +6,Can Write,يمكن كتابة
apps/frappe/frappe/client.py +63,Can not edit Read Only fields,لا تستطيع تعديل اقرأ الحقول فقط
DocType: DocPerm,Cancel,إلغاء
DocType: Communication,Cancelled,إلغاء
apps/frappe/frappe/public/js/frappe/form/save.js +15,Cancelling,إلغاء
apps/frappe/frappe/core/doctype/user/user.py +380,Cannot Update: Incorrect / Expired Link.,لا يمكن تحديث : رابط غير الصحيحة / منتهية الصلاحية .
apps/frappe/frappe/core/doctype/communication/comment.py +26,Cannot add more than 50 comments,لا يمكن إضافة أكثر من 50 تعليقا
apps/frappe/frappe/workflow/doctype/workflow/workflow.py +70,Cannot cancel before submitting. See Transition {0},لا يمكن إلغاء قبل تسجيل .{0}
apps/frappe/frappe/model/document.py +465,Cannot change docstatus from 0 to 2,لا يمكن تغيير docstatus 0-2
apps/frappe/frappe/model/document.py +475,Cannot change docstatus from 1 to 0,لا يمكن تغيير docstatus من 1 إلى 0
apps/frappe/frappe/workflow/doctype/workflow/workflow.py +64,Cannot change state of Cancelled Document. Transition row {0},لا يمكن تغيير حالة الوثيقة ملغاة .
apps/frappe/frappe/email/receive.py +61,Cannot connect: {0},لا يمكن الاتصال: {0}
apps/frappe/frappe/core/doctype/communication/communication.py +27,Cannot create a {0} against a child document: {1},لا يمكن إنشاء {0} ضد وثيقة الطفل: {1}
apps/frappe/frappe/core/doctype/file/file.py +150,Cannot delete Home and Attachments folders,لا يمكن حذف الرئيسية والمرفقات المجلدات
apps/frappe/frappe/model/delete_doc.py +158,Cannot delete or cancel because {0} {1} is linked with {2} {3},لا يمكن حذف أو إلغاء ل {0} {1} يرتبط مع {2} {3}
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +80,Cannot delete standard field. You can hide it if you want,لا يمكن حذف الحقل القياسية. يمكنك إخفاء ذلك إذا كنت تريد
apps/frappe/frappe/utils/nestedset.py +201,Cannot delete {0} as it has child nodes,لا يمكن حذف {0} كما أن لديها العقد التابعة
apps/frappe/frappe/model/document.py +478,Cannot edit cancelled document,لا تستطيع تعديل وثيقة إلغاء
apps/frappe/frappe/public/js/frappe/views/reports/reportview.js +355,Cannot edit standard fields,لا تستطيع تعديل الحقول القياسية
apps/frappe/frappe/website/doctype/web_page/web_page.py +31,Cannot edit templated page,لا تستطيع تعديل قالب الصفحة
apps/frappe/frappe/model/document.py +537,Cannot link cancelled document: {0},لا يمكن ربط وثيقة إلغاء: {0}
apps/frappe/frappe/model/mapper.py +81,Cannot map because following condition fails: ,لا يمكن تعيين بسبب فشل الشرط التالي:
apps/frappe/frappe/public/js/legacy/form.js +72,Cannot open instance when its {0} is open,لا يمكن فتح المثال عندما ه {0} مفتوح
apps/frappe/frappe/public/js/legacy/form.js +66,Cannot open {0} when its instance is open,لا يمكن فتح {0} عندما مثيل لها مفتوح
apps/frappe/frappe/public/js/legacy/form.js +171,Cannot print cancelled documents,لا يمكن طباعة المستندات إلغاء
apps/frappe/frappe/core/page/user_permissions/user_permissions.py +58,Cannot remove permission for DocType: {0} and Name: {1},لا يمكن إزالة إذن ل DOCTYPE : {0} و اسم : {1}
apps/frappe/frappe/email/bulk.py +148,Cannot send this email. You have crossed the sending limit of {0} emails for this month.,لا يمكن إرسال هذا البريد الإلكتروني. لقد تجاوزت الحدود ارسال {0} رسائل البريد الإلكتروني لهذا الشهر.
apps/frappe/frappe/email/doctype/email_alert/email_alert.py +31,Cannot set Email Alert on Document Type {0},لا يمكن تعيين تنبيه بالبريد الالكتروني على نوع الوثيقة {0}
apps/frappe/frappe/core/page/user_permissions/user_permissions.py +66,Cannot set permission for DocType: {0} and Name: {1},لا يمكن تعيين إذن ل DOCTYPE : {0} و اسم : {1}
apps/frappe/frappe/config/website.py +64,Categorize blog posts.,تصنيف المقالات في الموقع.
apps/frappe/frappe/desk/page/applications/applications.js +42,Category,فئة
DocType: Blog Category,Category Name,اسم التصنيف
apps/frappe/frappe/utils/data.py +412,Cent,سنت
DocType: Web Page,Center,مركز
apps/frappe/frappe/public/js/frappe/ui/editor.html +59,Center (Ctrl/Cmd+E),مركز (السيطرة / كمد + E)
apps/frappe/frappe/core/page/permission_manager/permission_manager_help.html +16,"Certain documents, like an Invoice, should not be changed once final. The final state for such documents is called Submitted. You can restrict which roles can Submit.",وثائق معينة ، مثل الفاتورة ، لا ينبغي تغييره مرة واحدة نهائية . و دعا الدولة النهائية ل هذه الوثائق المقدمة . يمكنك تقييد الأدوار التي يمكن إرسال.
DocType: User,Change Password,تغيير كلمة المرور
apps/frappe/frappe/config/setup.py +216,"Change field properties (hide, readonly, permission etc.)",تغيير خصائص الحقل (إخفاء ، للقراءة فقط ، إذن الخ )
apps/frappe/frappe/custom/doctype/customize_form/customize_form.js +158,"Change type of field. (Currently, Type change is \
						allowed among 'Currency and Float')",
DocType: Communication,Chat,الدردشة
apps/frappe/frappe/config/desk.py +27,Chat messages and other notifications.,رسائل الدردشة والإخطارات الأخرى.
DocType: DocField,Check,تحقق
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_column_selector.html +1,"Check columns to select, drag to set order.",تحقق الأعمدة لتحديد، اسحب لضبط النظام.
DocType: Letter Head,Check this to make this the default letter head in all prints,التحقق من ذلك لجعل هذه الرسالة الافتراضية الرأس في جميع الطبعات
DocType: Email Account,Check this to pull emails from your mailbox,التحقق من ذلك لسحب رسائل البريد الإلكتروني من صندوق البريد
apps/frappe/frappe/config/setup.py +54,Check which Documents are readable by a User,تحقق من وثائق العضو القابلة للقراءة
apps/frappe/frappe/core/page/desktop/all_applications_dialog.html +8,Checked items will be shown on desktop,سيتم عرض العناصر المحددة على سطح المكتب
DocType: DocType,Child Tables are shown as a Grid in other DocTypes.,وتظهر جداول الطفل بأنه في الشبكة DocTypes أخرى.
DocType: Contact Us Settings,City,مدينة
DocType: Print Settings,Classic,كلاسيكي
apps/frappe/frappe/core/doctype/user/user.js +162,Clear all roles,مسح كافة الأدوار
apps/frappe/frappe/templates/emails/new_user.html +5,Click on the link below to complete your registration and set a new password,انقر على الرابط أدناه لإكمال التسجيل وتعيين كلمة مرور جديدة
DocType: Communication,Clicked,النقر
DocType: Custom Script,Client,عميل
apps/frappe/frappe/config/core.py +37,Client side script extensions in Javascript,ملحقات النصي جانب العميل في جافا سكريبت
apps/frappe/frappe/core/doctype/communication/communication.js +19,Close,أغلق
DocType: Communication,Closed,مغلق
DocType: DocField,Code,كود الدولة
apps/frappe/frappe/public/js/frappe/ui/tree.js +122,Collapse,ضم
DocType: DocField,Collapsible,للطي
DocType: DocField,Collapsible Depends On,انهيار يعتمد على
apps/frappe/frappe/print/page/print_format_builder/print_format_builder_column_selector.html +4,Column,عمود
DocType: DocField,Column Break,العمود استراحة
apps/frappe/frappe/core/page/data_import_tool/exporter.py +227,Column Labels:,تسميات العمود:
apps/frappe/frappe/core/page/data_import_tool/data_import_tool.py +16,Column Name,اسم العمود
DocType: Communication,Comment,تعليق
DocType: Communication,Comment Type,تعليق نوع
apps/frappe/frappe/desk/page/activity/activity_row.html +20,Commented on {0}: {1},علق على {0}: {1}
apps/frappe/frappe/public/js/frappe/form/form_sidebar.html +8,Comments,تعليقات
DocType: DocType,Comments and Communications will be associated with this linked document,سيتم ربط التعليقات والاتصالات مع هذه الوثيقة مرتبطة
apps/frappe/frappe/desk/page/activity/activity_row.html +22,Communicated via {0} on {1}: {2},ترسل عن طريق {0} على {1}: {2}
DocType: Communication,Communication,الاتصالات
apps/frappe/frappe/public/js/frappe/views/communication.js +69,Communication Medium,الاتصالات متوسطة
DocType: Communication,Communication Type,نوع الاتصال
DocType: Company History,Company History,نبذة عن تاريخ الشركة
DocType: About Us Settings,Company Introduction,من نحن
apps/frappe/frappe/templates/pages/complete_signup.html +22,Complete,كامل
apps/frappe/frappe/public/js/frappe/form/footer/assign_to.js +176,Complete By,الكامل من جانب
apps/frappe/frappe/templates/emails/new_user.html +6,Complete Registration,اكمال التسجيل
apps/frappe/frappe/desk/page/setup_wizard/setup_wizard_page.html +18,Complete Setup,الإعداد الكامل
apps/frappe/frappe/core/doctype/doctype/boilerplate/controller_list.html +31,Completed,الانتهاء
DocType: Email Alert,Condition,الحالة
apps/frappe/frappe/public/js/frappe/ui/modal.html +16,Confirm,أكد
DocType: Contact Us Settings,Contact Us Settings,إعدادات الاتصال بنا
DocType: Contact Us Settings,"Contact options, like ""Sales Query, Support Query"" etc each on a new line or separated by commas.",خيارات الاتصال، مثل &quot;الاستعلام المبيعات والدعم الاستعلام&quot; الخ كل على سطر جديد أو مفصولة بفواصل.
DocType: Note,Content,محتوى
DocType: File,Content Hash,تجزئة المحتوى
DocType: Web Page,Content in markdown format that appears on the main side of your page,المحتوى في شكل تخفيض السعر الذي يظهر على الجانب الرئيسي من الصفحة الخاصة بك
apps/frappe/frappe/config/website.py +13,Content web page.,محتوى صفحة الويب.
apps/frappe/frappe/templates/generators/web_form.html +273,Continue,استمر
apps/frappe/frappe/core/doctype/file/file_list.js +104,Copy,نسخ
DocType: Website Settings,Copyright,حق النشر
